name,manufacturer,stock,description
iPhone 15 Pro,Apple,45,Premium titanium smartphone with A17 Pro chip.
MacBook Pro M3,Apple,12,High-performance laptop for professionals.
Galaxy S24 Ultra,Samsung,30,Flagship Android device with AI features.
Sony WH-1000XM5,Sony,25,Industry-leading noise-canceling headphones.
Logitech MX Master 3S,Logitech,50,Ergonomic wireless office mouse.
Dell UltraSharp 27,Dell,15,4K USB-C monitor for color-accurate work.
iPad Air,Apple,22,Powerful tablet for creativity and productivity.
Kindle Paperwhite,Amazon,40,High-resolution e-reader with warm light.
Nintendo Switch OLED,Nintendo,18,Handheld console with vibrant OLED screen.
Keychron K2,Keychron,35,Compact mechanical keyboard for Mac and Windows.
